DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
22-Dec-2025,EQ,"985.00","987.70","973.25","985.15","986.00","984.45","979.46","1,007.25","478.35",1798327,"1,76,13,82,796.45",51125
19-Dec-2025,EQ,"977.10","989.20","972.70","987.65","985.00","985.15","983.15","1,007.25","478.35",2775343,"2,72,85,91,801.45",50899
18-Dec-2025,EQ,"991.00","993.05","982.15","990.30","987.50","987.65","987.74","1,007.25","478.35",1561587,"1,54,24,34,182.90",37375
17-Dec-2025,EQ,"981.00","998.20","979.40","980.60","990.50","990.30","992.16","1,007.25","478.35",3583750,"3,55,56,70,364.65",57664
16-Dec-2025,EQ,"976.00","984.00","973.30","979.05","978.10","980.60","978.21","1,007.25","478.35",1350309,"1,32,08,82,986.60",35231
15-Dec-2025,EQ,"965.00","983.35","957.40","968.05","980.60","979.05","975.20","1,007.25","478.35",1702377,"1,66,01,61,451.85",40139
12-Dec-2025,EQ,"974.10","977.60","963.40","973.00","968.50","968.05","968.90","1,007.25","478.35",1932538,"1,87,24,39,931.40",41288
11-Dec-2025,EQ,"981.00","990.70","970.35","993.70","973.00","973.00","978.88","1,007.25","478.35",1656397,"1,62,14,08,208.90",46721
10-Dec-2025,EQ,"981.00","1,007.25","981.00","972.05","992.90","993.70","997.83","1,007.25","478.35",7019615,"7,00,44,09,767.60",115480
09-Dec-2025,EQ,"950.05","973.70","948.20","952.55","971.00","972.05","965.05","973.70","478.35",1880632,"1,81,49,10,471.15",46223
08-Dec-2025,EQ,"962.85","963.30","947.15","960.70","953.10","952.55","952.85","966.90","478.35",1172294,"1,11,70,18,339.45",33228
05-Dec-2025,EQ,"948.90","965.00","946.10","948.75","960.90","960.70","958.61","966.90","478.35",1640399,"1,57,25,07,010.85",48637
04-Dec-2025,EQ,"949.00","954.00","943.65","948.70","949.00","948.75","948.10","966.90","478.35",651215,"61,74,19,344.25",39871
03-Dec-2025,EQ,"951.80","952.40","938.40","953.05","952.00","948.70","944.32","966.90","478.35",2138096,"2,01,90,53,408.55",36684
02-Dec-2025,EQ,"949.95","966.90","948.55","950.50","951.40","953.05","956.86","966.90","478.35",1845042,"1,76,54,46,008.55",46247
01-Dec-2025,EQ,"955.40","962.70","947.80","955.25","951.20","950.50","953.11","962.70","478.35",1215469,"1,15,84,74,767.40",35986
28-Nov-2025,EQ,"949.00","956.30","943.60","947.15","952.95","955.25","952.24","962.65","478.35",1439552,"1,37,07,97,044.10",35089
27-Nov-2025,EQ,"953.75","955.00","938.80","953.75","944.90","947.15","944.89","962.65","478.35",1254643,"1,18,54,98,817.90",48229
26-Nov-2025,EQ,"943.00","962.65","941.00","944.05","951.00","953.75","954.43","962.65","478.35",2849853,"2,71,99,83,288.85",89093
25-Nov-2025,EQ,"925.00","946.25","925.00","925.10","945.00","944.05","938.77","946.25","478.35",2689417,"2,52,47,38,443.25",55772
24-Nov-2025,EQ,"915.35","935.60","913.35","915.35","924.90","925.10","926.86","935.60","478.35",3235422,"2,99,87,93,746.85",60566
21-Nov-2025,EQ,"918.00","924.90","908.60","919.30","916.00","915.35","915.51","929.90","478.35",1756372,"1,60,79,76,879.05",35245
20-Nov-2025,EQ,"925.65","929.00","916.25","925.65","922.80","919.30","921.66","929.90","478.35",599130,"55,21,94,288.95",27243
19-Nov-2025,EQ,"924.75","928.00","910.80","920.15","924.00","925.65","923.24","929.90","478.35",3061415,"2,82,64,10,926.55",49449
18-Nov-2025,EQ,"912.65","929.90","909.90","912.70","922.00","920.15","922.12","929.90","478.35",3097067,"2,85,58,78,249.10",56030
17-Nov-2025,EQ,"895.00","919.40","892.15","890.60","914.00","912.70","912.69","922.90","478.35",2325495,"2,12,24,64,103.10",55454
14-Nov-2025,EQ,"886.00","894.55","882.50","886.70","891.90","890.60","890.09","922.90","478.35",1668762,"1,48,53,42,970.15",27227
13-Nov-2025,EQ,"881.50","891.85","878.80","882.05","886.00","886.70","886.21","922.90","478.35",1162548,"1,03,02,58,235.85",43288
12-Nov-2025,EQ,"897.45","897.45","879.65","889.40","880.20","882.05","883.54","922.90","478.35",1230211,"1,08,69,34,994.60",26846
11-Nov-2025,EQ,"915.00","916.90","886.60","914.60","890.10","889.40","894.14","922.90","478.35",1570525,"1,40,42,68,156.15",45963
10-Nov-2025,EQ,"907.15","922.90","905.70","908.70","912.15","914.60","916.23","922.90","478.35",2958937,"2,71,10,77,029.45",39724
07-Nov-2025,EQ,"876.05","909.75","870.85","881.00","907.15","908.70","895.86","909.75","478.35",3232246,"2,89,56,30,525.05",63959
06-Nov-2025,EQ,"880.90","892.65","875.40","880.30","881.00","881.00","882.78","892.65","478.35",3539271,"3,12,43,93,908.15",49814
04-Nov-2025,EQ,"866.95","881.00","863.75","866.95","880.10","880.30","873.78","886.45","478.35",2981577,"2,60,52,46,231.75",41570
03-Nov-2025,EQ,"877.00","885.65","864.75","877.85","867.50","866.95","874.52","886.45","478.35",1245468,"1,08,91,92,876.10",37238
31-Oct-2025,EQ,"878.25","882.75","872.70","878.30","876.00","877.85","877.07","886.45","478.35",710153,"62,28,53,145.90",30868
30-Oct-2025,EQ,"883.00","885.50","874.80","882.45","876.20","878.30","880.83","886.45","478.35",1730444,"1,52,42,21,907.50",55829
29-Oct-2025,EQ,"886.00","886.45","874.40","879.90","883.20","882.45","880.08","886.45","478.35",2921775,"2,57,13,99,075.25",48241
28-Oct-2025,EQ,"864.20","881.40","864.20","864.20","880.00","879.90","876.75","884.00","478.35",2737346,"2,39,99,68,799.45",55938
27-Oct-2025,EQ,"860.00","869.65","855.30","860.35","865.50","864.20","863.66","884.00","478.35",1499331,"1,29,49,15,138.55",40806
24-Oct-2025,EQ,"872.00","875.05","858.25","870.70","860.50","860.35","864.27","884.00","478.35",1778097,"1,53,67,58,066.35",49502
23-Oct-2025,EQ,"861.05","884.00","861.05","861.35","870.00","870.70","874.17","884.00","478.35",4807671,"4,20,27,31,920.60",83262
21-Oct-2025,EQ,"866.00","871.70","858.45","865.20","861.00","861.35","863.17","871.70","478.35",483216,"41,70,95,592.40",12661
20-Oct-2025,EQ,"818.00","871.65","818.00","792.45","866.45","865.20","855.40","871.65","478.35",20074420,"17,17,15,84,723.95",297513
